# Whisperfile variants from Mozilla's Hugging Face repo.
# https://huggingface.co/Mozilla/whisperfile/tree/main
# All three rows are .en (English-only) variants; multilingual variants
# also exist upstream (whisper-tiny.llamafile, whisper-small.llamafile, etc.)
# — add rows here if needed. small.en is today's default — Mozilla removed
# the previous base.en variant from the repo as of 2026-05.
#
# Sizes are exact bytes from x-linked-size headers (verified 2026-05-08).
#
# label	url	filename	bytes
Tiny.en (~87 MB — fastest, weak accuracy; fine for 8 GB hosts)	https://huggingface.co/Mozilla/whisperfile/resolve/main/whisper-tiny.en.llamafile?download=true	whisper-tiny.en.llamafile	87126235
Small.en (~497 MB — balanced default; fits 8 GB hosts alongside E4B)	https://huggingface.co/Mozilla/whisperfile/resolve/main/whisper-small.en.llamafile?download=true	whisper-small.en.llamafile	497053916
Medium.en (~1.8 GB — best accuracy; pick only if host has ≥16 GB RAM)	https://huggingface.co/Mozilla/whisperfile/resolve/main/whisper-medium.en.llamafile?download=true	whisper-medium.en.llamafile	1825923846
