# Wikipedia ZIM options for kiwix-serve.
# Sourced from https://download.kiwix.org/zim/wikipedia/ — pin specific months
# in the filename so re-runs are deterministic. Update when Kiwix rolls dumps.
#
# Kiwix's naming/curation has shifted: the de/fr/es "basisartikel/basique/basicos"
# curated subsets that v0.5 shipped no longer exist upstream. Only EN-language
# rows ship today; users who want non-EN can use the wizard's "custom URL" path
# or drop a .zim into zim/ on the USB after build.
#
# bytes column is approximate; the build's verify_size uses a 95% lower bound.
#
# label	url	filename	bytes
Simple English (~921 MB)	https://download.kiwix.org/zim/wikipedia/wikipedia_en_simple_all_nopic_2026-02.zim	wikipedia_en_simple_all_nopic_2026-02.zim	966064955
WikiMed Medical EN (~822 MB)	https://download.kiwix.org/zim/wikipedia/wikipedia_en_medicine_nopic_2026-04.zim	wikipedia_en_medicine_nopic_2026-04.zim	862000000
English no-pic FULL (~48 GB — huge)	https://download.kiwix.org/zim/wikipedia/wikipedia_en_all_nopic_2026-03.zim	wikipedia_en_all_nopic_2026-03.zim	51960000000
